# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 07:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a1076ba5901.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040858-1-58f9f9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040858-1-64f469.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l
# Adaptation terminated
# Step size = 0.380381
# Diagonal elements of inverse mass matrix:
# 1.57043, 1.53439
-69.8668,0.934738,0.380381,1,1,0,69.9475,0.574269,0.614521
-67.7934,1,0.380381,4,15,0,70.2651,0.670604,0.844947
-68.223,0.999744,0.380381,3,7,0,68.4363,0.968878,0.960386
-67.125,0.986674,0.380381,3,7,0,69.6694,0.816955,0.927406
-67.2592,0.990995,0.380381,3,7,0,67.4347,0.947636,0.8455
-68.2438,0.948031,0.380381,2,7,0,69.9733,0.973053,0.716182
-67.6899,0.997302,0.380381,3,7,0,68.7044,0.932136,0.694822
-69.5487,0.906022,0.380381,3,7,0,70.6721,0.71116,0.512528
-68.1772,0.979636,0.380381,4,15,0,71.1486,0.783802,0.979406
-68.5575,0.993563,0.380381,2,3,0,68.6488,0.759352,0.98464
-69.3756,0.918215,0.380381,3,15,0,70.4699,0.987647,0.973862
-69.8681,0.99733,0.380381,2,3,0,70.1111,0.993137,0.971711
-69.4128,0.987907,0.380381,3,15,0,71.6027,0.969865,0.989645
-69.0233,0.991187,0.380381,3,15,0,70.372,0.988727,0.954245
-68.4319,0.996051,0.380381,4,15,0,69.6702,0.601503,0.885858
-67.0896,1,0.380381,4,15,0,68.5223,0.904652,0.924206
-67.3191,0.974982,0.380381,2,7,0,68.3956,0.778679,0.765642
-67.4138,0.997979,0.380381,3,7,0,67.5625,0.914877,0.952236
-67.6969,0.997347,0.380381,3,7,0,67.8619,0.87964,0.660464
-67.3276,0.997237,0.380381,3,7,0,68.535,0.821472,0.949198
-66.9498,0.989993,0.380381,3,7,0,67.6459,0.820156,0.838465
-67.473,0.957808,0.380381,2,3,0,67.7076,0.712504,0.877109
-68.1403,0.971357,0.380381,3,7,0,68.5284,0.657045,0.934832
-68.5379,0.995835,0.380381,3,7,0,68.9136,0.973705,0.67164
-68.7349,0.999056,0.380381,2,3,0,68.8214,0.978749,0.669818
-73.2595,0.919113,0.380381,4,15,0,74.8035,0.998897,0.995003
-71.7921,0.981464,0.380381,3,15,0,74.2323,0.998057,0.570512
-69.3493,1,0.380381,2,3,0,71.9614,0.993869,0.769787
-67.8323,0.976034,0.380381,2,7,0,70.7399,0.970645,0.920327
-68.5391,0.980688,0.380381,2,7,0,69.9189,0.757347,0.984138
-68.9268,1,0.380381,3,7,0,69.4391,0.928185,0.990986
-69.034,0.978517,0.380381,3,15,0,70.5913,0.990453,0.943145
