# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = AssymetricWSLS_model
# start_datetime = 2025-03-04 07:58:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/szh/AppData/Local/Temp/RtmpWMpWHD/standata-2a1076ba5901.json
# init = 2 (Default)
# random
#   seed = 901
# output
#   file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-202503040858-2-58f9f9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/szh/Desktop/ACM/ACM2024/Assignment_2/simmodels/AssymetricWSLS-profile-202503040858-2-64f469.csv
#   save_cmdstan_config = false (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=AssymetricWSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_w,theta_l
# Adaptation terminated
# Step size = 0.360383
# Diagonal elements of inverse mass matrix:
# 1.29157, 1.81102
-67.7168,0.973839,0.360383,3,7,0,67.8504,0.971429,0.85753
-69.8628,0.915235,0.360383,2,3,0,70.2157,0.977246,0.524861
-69.1647,0.999226,0.360383,3,15,0,72.2774,0.989259,0.70064
-67.1633,0.99702,0.360383,3,7,0,69.9567,0.921772,0.922605
-67.033,0.999481,0.360383,3,7,0,67.2904,0.795895,0.836916
-70.0271,0.88333,0.360383,3,15,0,70.4737,0.996765,0.937737
-69.3787,0.999663,0.360383,2,3,0,70.068,0.994993,0.899804
-69.5576,0.999889,0.360383,4,15,0,69.6826,0.995891,0.894743
-68.6915,0.997045,0.360383,3,7,0,69.8066,0.987505,0.934066
-69.1261,0.997788,0.360383,3,7,0,69.3834,0.991471,0.748506
-70.4183,0.937401,0.360383,2,3,0,70.4358,0.993504,0.592878
-72.5872,0.987029,0.360383,3,7,0,72.9359,0.364448,0.977083
-68.405,0.997534,0.360383,2,3,0,72.9862,0.743744,0.979914
-67.9357,1,0.360383,2,3,0,68.4037,0.788698,0.973363
-68.3177,0.99919,0.360383,3,7,0,68.596,0.861253,0.985886
-67.2367,0.966908,0.360383,2,7,0,71.0149,0.946042,0.87893
-67.8366,0.994169,0.360383,3,7,0,67.86,0.975196,0.858689
-67.164,0.990541,0.360383,3,7,0,68.2646,0.933972,0.816402
-66.9375,0.999252,0.360383,3,7,0,67.396,0.884309,0.903638
-68.2864,0.957679,0.360383,2,5,0,68.5771,0.821863,0.984351
-67.2505,0.989101,0.360383,2,7,0,69.5952,0.930474,0.779588
-68.2028,0.94141,0.360383,2,3,0,68.5261,0.960957,0.673562
-67.2503,0.860032,0.360383,1,3,0,70.8191,0.947339,0.87608
-67.0936,0.998864,0.360383,4,15,0,67.3661,0.779748,0.842302
-67.5665,0.9241,0.360383,3,15,0,69.3142,0.963627,0.822731
-67.5182,0.985623,0.360383,3,15,0,68.2963,0.819608,0.960778
-67.2617,0.993196,0.360383,3,7,0,67.917,0.945089,0.824139
-67.6727,0.970347,0.360383,3,7,0,68.1797,0.878755,0.970282
-68.4514,0.978832,0.360383,4,15,0,69.2029,0.961763,0.640227
-68.7274,0.996877,0.360383,3,15,0,69.6908,0.989862,0.907527
-66.9001,1,0.360383,3,7,0,69.1362,0.872117,0.894993
-66.9469,0.977049,0.360383,3,7,0,68.1731,0.909796,0.865394
-68.7333,0.952823,0.360383,3,9,0,69.4077,0.987637,0.757613
-70.3159,0.98311,0.360383,3,7,0,70.4289,0.996225,0.966641
-70.0499,1,0.360383,2,3,0,70.4177,0.996391,0.949247
-69.6002,0.999363,0.360383,1,3,0,70.2644,0.995077,0.936035
-71.8274,0.953139,0.360383,4,15,0,73.6282,0.972072,0.999067
-70.9659,1,0.360383,3,7,0,71.9074,0.953056,0.998528
-70.4704,0.99766,0.360383,3,7,0,71.5468,0.925141,0.998195
-68.6192,0.981111,0.360383,2,7,0,71.4764,0.912587,0.988694
-69.4488,0.998902,0.360383,3,7,0,69.6488,0.814423,0.995316
-68.0275,0.983192,0.360383,2,7,0,70.036,0.824163,0.979216
-67.2985,0.997853,0.360383,3,7,0,68.36,0.761827,0.91892
-66.9692,0.943209,0.360383,2,7,0,69.0568,0.881129,0.912503
-67.7318,0.954062,0.360383,4,15,0,69.344,0.953771,0.948784
-67.7947,0.99898,0.360383,1,1,0,67.7975,0.955961,0.950805
-67.5543,0.999441,0.360383,3,7,0,68.0776,0.963532,0.895393
-67.5694,0.999971,0.360383,3,7,0,67.6737,0.965727,0.87376
-67.2072,0.999497,0.360383,2,7,0,67.6604,0.942909,0.840915
-67.9958,0.982459,0.360383,4,15,0,68.093,0.959102,0.959827
-67.3207,0.999626,0.360383,4,15,0,68.2843,0.764458,0.924778
-67.2006,0.984169,0.360383,3,7,0,68.4689,0.756852,0.848722
-69.4208,0.899114,0.360383,3,7,0,69.9846,0.550024,0.952765
-68.8224,1,0.360383,3,7,0,70.2612,0.981522,0.967295
